protein_sha256	normalized_length	chunk_count	embedding_l2_norm
1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274	766	1	1.0
1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20	505	1	1.0
1abdf9f5fe8a5ce4b11f9b7b9cbbd0bc1697da6c82615add5f03f1f0cb3a0cbf	297	1	1.0
1c6644344a12e467bac221d095a23fc2da3d2eb868d6085259979d4b76029cba	1154	2	1.0
1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a	189	1	1.0
1dd8076dcc1c7f8bf85982f9ef389f20d06611bdc4c6d38a12300f6d42550846	189	1	0.99999994
1e34f9f89f223ec78879ce06436449fdb4077140597c4fbb765250e74b5295f3	724	1	1.0
1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d	781	1	1.0
1f1e0d80da902eddd4cd9ae48b390782b5c090a0ae8cca56435c5654f0af67fa	384	1	1.0
2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a	659	1	1.0
20a6b94861f0cf314539c09f81e963061ffb85f749a47a103bb6de76c0fb62fc	169	1	0.99999994
21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a	1132	2	1.0
21bcf3ae01c329f2a9caf8b6af601f7c6dc5355fb67930b4481acf2bb0b80b70	472	1	1.0
21f46e4dc29df3bbe7821c4fbe2fcc6f57d0e4fb18807b640059e11f1d2359f0	310	1	1.0
21f49444b989615a6ae5543a20781583b30314e4302cbf9c793c6749bfac673a	432	1	0.99999994
227d4dedc333f19cd45555a7d21906eea61e2723b142143e11cbf038bcb59d6b	189	1	1.0
235809418d7d3cef7abccc00fcd104e63b3d4dbeb831a48bc93d353237931b5f	531	1	0.99999994
249c963f7270222e8d269156d3dcbf186a8661fead55fce9b31880e7171fe85e	384	1	1.0
262c7bcde1c365985448d0e69a77135df1680783066e7f72dfb907bead316982	518	1	1.0
266ca0506e735b718ca822e6c035b6cb02aa39f6501029348d4673aad7edf5b2	272	1	1.0
2709b182438598d2b9f146586fb2c8549857ef08c97505fddab5a0a8782aaee7	372	1	0.99999994
287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7	1159	2	1.0
2898de6836326a5e8b9a13d96336a5a89496c3a70deea8b99a0799c73120a29b	559	1	1.0
29416c9490a3c35fa69a9086f09fb7c75915d5d7467cb594e5b517e8fa9f344f	976	1	0.99999994
2adaa47ab70c0a798132d08bd90a7cf226b2cecf0909cd1b248b9349d25794c1	277	1	1.0
2bcd2372a42b0df85765503157e2692f62ac4928d456c0292b6bede3fb610d28	316	1	1.0
2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3	420	1	1.0
2d487f30a2af772e578140ddecf3625eeb792afae14a2d808aca6e480aee821a	293	1	0.99999994
2f76a1405e7aed356b34cd1a9f18c34be3337a580d4178b253f7a9e543714c34	210	1	1.0
2fdc94b562d94122b907d10ff61c3ff69134278a3cb10e079d4cb5e55db67e88	355	1	1.0
3084fcf25de5f51e6942e7495fb1bfc871a2e7e01dd721cf3ee864909896ee9e	766	1	1.0
30d7099d81eda4dbd95c11514b8b85048f02e8e8c21169f9d5a93669f14a4d3d	552	1	1.0
333835f403a04d992e92c0e4d969ebd9d7836efbeea46535bc6e28637a7f594c	770	1	1.0
335308f096756a3df0215872048688705e4c202b3fb4ac426b1d7a2c0ae16340	418	1	0.99999994
3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1	839	1	0.99999994
360ed307cf2e66ee0ad91e9a660b6ae75063b7ecc7cc1ddfb03afc424d5c399d	386	1	1.0
3857272f8a0735dacc5f841ed7493306cead70cbe32677a45fa955b7ca4275e5	953	1	0.99999994
388496086c3d359af41db771e1f6945d2b66722fee6fe88853baa0235284e088	317	1	0.99999994
38964770ee24572575ba286754bb1867aa9a34289a45d300a3da80627961c787	391	1	0.99999994
38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846	536	1	1.0
3943de13dea0671ba13a3eb0140aa91aad157279748f39822395d594254b3cd5	396	1	1.0
39b0d8c15a36d623fb08a72aedcf35ebdd082059773c7cca3cd9d2f46e43b33d	108	1	0.99999994
3a69a5b81accc8a0aa19c96b01d26a2b1acd1545ee30826e5c73de50b3e3048e	239	1	1.0
3be11112fc04b057ec42f4d8e7b29ae9d834e13831f109d77959ea620ec29471	766	1	1.0
3c818ee2c080f534eaf3cb422f25c94f2f49241f958d47673d7c8575ec18a73e	1362	2	0.99999994
3e55a8886d3123341ae8d94472ff288ce0a984a3363ffa75fee6e9dfa6082ec1	215	1	0.99999994
3ec018eac89b55a4b8805aad2984a8a39dc4efa5a410abc4d3835c233cb1395a	439	1	1.0
3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890	1187	2	1.0
3fa18eb54ec40d14ffe757d4ea5610d82f444e748a118bb4bb5410eecc967a9c	518	1	1.0
3fd33166364d6754808cd13825181f72272f9ff1bff05499874ea5560a03462c	383	1	1.0
400ef529d5c6a3841e239c796b59a0ac70f5d15999943515367a963d27a80d30	109	1	1.0
4466a9fc1e1f5c3b796fbdfe4885ecdd1d5cb9ea13628e8ba1900e0b8b0fc83c	132	1	1.0
44d46497ea712d353a5fb8334570bc6b6cbbbe787241db9a29611e546765c4d0	707	1	1.0
44d644fded1106c7798f23404f6259d4a56f52e874b192053880a84f91b2384f	221	1	1.0
4602a348ca21f49c27d1dfd706dbfb54f20ab49a7de362ece550dbb1dd236c87	377	1	0.99999994
462c157a4444fcbfb9ba57b67f342db52b80887f3370f552ba8e2109caa035e2	529	1	0.99999994
476e19cf8b96a087426a0be2eae3ee91c245c50f254992225d631182ff078464	325	1	1.0
47b0efd38cbed8b7ae54ce86c372fe5bccb834500ac813baba3a9486c1321a4c	204	1	0.99999994
4acd833b96a1440e5d76603e5d137a8b1c9aeb8002f0f8460d1ba0fc3a8de305	314	1	0.99999994
4afd43a2f1fdcfaab09ba8c43a997c6bd6ed010fd20bbc6e15d791a28129e8e2	295	1	1.0
4b3334bba830c2f7d886e2ec16e1d2a9270108ea40b962522c22590594be467c	701	1	1.0
4b73868ce025017dbd7dc7c6e3d898657ae4faf8dd559c654aec1cb4c86901db	966	1	1.0
4b992438444e5580e88eec14328d65dc56021c00706daab77dfc20892b6dcdb6	122	1	1.0
4c0cef143858b123b57fe94ba580d433ebbad7bbfb5265d8ae729c1e43be5e46	135	1	0.99999994
4c7b302c97ebbbf6f2c1647b7e2c33a0df922e898bb99d4b949a7204ba26ab70	475	1	1.0
4d721063d8e4ca3996c990ea105052d20c4241e90d4ef9dec173cf654fc8db21	657	1	1.0
4dde01fda8f2a6440d900157adfd87d76e4a001b1c3c56198a637348fe90867b	197	1	1.0
4ffc1b515d70e97e7a9e0436e6857e4c07bb4e3a0922ad8f22f541398aa5e5a6	189	1	1.0
505bfb3d1260c6a4e19cde894af5b280bdb5f0833bc980cb58448501fc7e158b	223	1	1.0
50bd91bb24b0aa5b7cf6ff8e83dc526c6a56ca6bbcc8ab48acfbfac4cb8961cf	383	1	1.0
52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4	972	1	1.0
534c81103e759078f92a338086834ea6156abcbd27b99589d549e3787e70d33e	998	1	1.0
54431f8a0aa2a42c7810354ab78e06561f7d2d8744a94e1c2a31525fab8aa2f3	296	1	0.99999994
549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17	624	1	1.0
54d4ad68b7f18c59288a5d0ac6b402df893d8aadb55fda3f5e03b57be254e647	852	1	1.0
553ddef377b84167048c087d19725632b8355f16ce8d6c8e47cdea8591dbc6cf	403	1	0.99999994
55ce8370328bf893df9ac1022b98cee33a26a617fdb533d0536a15e8eca7f2d8	624	1	1.0
56541207bc15b56b69d8ed53819e3e26edac7f55e5883ce914886f67e8fa2d3c	419	1	1.0
5688aa9dca5716cc3ef72bce8cde842c2afbb18e4c13767ffff0663e537db228	902	1	1.0
568d600386ab5ce56921f3ffd2bb61cd3858ebd51062c6861216dc086abbcd5e	450	1	1.0
573bb6398680c95f09c8b29b404da27b52af8f3433f93f5fa7f0a6f562c1bf30	356	1	0.99999994
57cd6f50c8934d3a5ad4c6bf69031d54b6210fb02fb34078cccfc6614520e018	71	1	1.0
57e21200805781ce80faed3af246dedc30689cf64c36b9e312ea1c1bfb5ae4fa	513	1	1.0
58345ae90df4d9185ef408b3ccd6e79bcc3369adba4919b0c26c30ddceb1fef0	323	1	1.0
5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880	261	1	1.0
5882afba176ac8a5bcacbdc1af582ec9522a98bc595b3f165bf6323a9944f050	1732	2	1.0
5969fecfc594320fc30615d9a1427a7b0ecdc2d6e5c94f751aba1435067f25dd	5596	6	1.0
5a63358615cb51a768228374fe60bf4e0e3e5f5cbc1091d81cfe18b961932427	523	1	0.99999994
5bd55de79e0d47293c2cd4ffedfd4e3944ecfe595621baf284e91a05f2432d32	1321	2	1.0
5f53bbc1e37943c0480e2cea1af72db621d5d854f1ed38469d2fccdaaca2479e	626	1	1.0
6051f5713b16576cafe50057ee6d408facfcfb921e3e7705732717b9e4c13d76	323	1	1.0
60b814a1042244f9f7d8210d506be2cfaf3db6cfb7569508e1a97dc5231cf240	461	1	1.0
6290ac0913cc53eba61e3fffaacd220601b70ddd3b2ad032f0d3b83310ae3c4b	372	1	1.0
630720d20980b874ca3b3d6be186b5f906d261584d4d7b7a090c83fd36416ddd	44	1	0.99999994
632908f5de50fb6f1a7024c9374f1584595fb92b7f80c35435714f5aa56e3a44	189	1	1.0
63545238edf5954ff2c4b906c6a1aff443f382df9e01ffb56acb5016ccbeed07	255	1	0.99999994
655b0e233155e540ef48affcb42464bb12cc38b193cd9ef302606592bd7f7b73	454	1	1.0
65cf04333924500423ef23e4ea83a72b8028ea91a81d9572ebd7d403340e1195	197	1	1.0
65cfc2c0cf82af83e1e122bea9f09a3fb6ba8fa60f7bd6f942cd3be3d0be8daf	300	1	1.0
665631247a60f67442cdeb06062c767eda520eaca2f8369894710e5720d86093	215	1	1.0
66f862010eb73c9edffb8433d2b53f30ffbbb70b85515d47323e5ad03cc012c0	859	1	1.0
673a5ff1e9eb71e9f4ce597ab556006ebebba414fa71bbe2287e813bbd3ddf7e	1052	2	0.99999994
678d7b3f7557c6b0a761f45cc3319a80ea88d6c4860a8d040f55f282752ac541	290	1	1.0
683c3ad865014d7a8dcfb86834de0ddb0c072ffda44aa063d6a8d3e0dee9868e	2002	2	1.0
68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416	993	1	1.0
6a664650df1dd5b3134dc88db726e96e3be3c27fdbf274c80e3b9923ed7cd32e	1458	2	1.0
6c31587c1098bb81e39181baa3de0089f00cf9c86f90f32f003fe36e13d4374e	263	1	1.0
6d45410f8f764999699c42d5765ae5ecdb14f1863a4e0de4cc504ba55ee1353f	383	1	1.0
6de0ad904d58312d0265ee7a480d38e55c5d8deab26c2a3bf2bd8483daf0fa77	993	1	1.0
6df418116e5febc9c4d8cf98dbb21fcfc878641634e45ca040d4ed6db28159a7	225	1	1.0
6e26e4440fbb88773921bdb0995d9eea518fe1d6922f73cedb328beb62d3b124	667	1	1.0
6ebcd9d1f5201ce756f83bdc960921125f57a30d267f8b2993f4652f9c93a620	459	1	1.0
6ef31e1bc4afc523da622ec2732076c498b9cc99c8c3eeeeb5ef020dc9490d89	335	1	1.0
71376b3a50a1cc063e09d51d93e09c4aacc3b77edd60a922db188157a62b0de4	165	1	1.0
7192d652f813d4d86f957b1edb7729c8adb429515fb591d7f4c6937a9d54dec2	403	1	1.0
71c75d29add3938542716c997db4ce5b657f2759a4642773975ae9b7d12ea876	831	1	1.0
741d5b5368b84456777eb2a6f9ef1b9fb372902b432b77def324e12b9e41be66	2843	3	0.99999994
74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9	1620	2	1.0
754ea281cb5b88a30939cc91a228a422b1d166d2c553d766864c8c2e437c14bf	1042	2	0.99999994
75c34e924155e3529903bd10daf1da3d8929c12d17075ff191d84ec07703843f	750	1	1.0
764ef6f778faca895ff91fffd4fa52f9d65cec8f985aed444769b03068e81c4b	468	1	1.0
77ed25650e717b3f610e42ef8e5c1c88d50e7485725032f8535448a0ca8b61b1	491	1	0.99999994
78629f9a6e9c7169e285abcc382efc0d05823b93d595efbdc21377fc8ceb9bfe	491	1	1.0
79272c1d474226029cb7252fa73c7d476c74871292363197da0f1dd16fe44d85	211	1	1.0
794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d	1273	2	1.0
79c891d01ebfd7d2089419c51eb05b0e6a36de252f45a9c559412d6de8aa8432	404	1	1.0
7b02f3d954c7c3f2e4745b0e62dbcfaf734b97c45b3e54edc23b1a72d30ca8ad	365	1	1.0
7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6	826	1	1.0
7bbe2ac8b5a7a373218bf39d06746d6f15643ca3569e863725869863f5014356	71	1	1.0
7c1523d7d6bd86df82bb78f6bc72691ee4cfa9ad4bb95aabc4dc3e64d1bf831b	421	1	0.99999994
7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c	108	1	1.0
7c626d67b7728183c647d3ec913c34061573b652086f8b9b634c7cfd9be034a0	450	1	0.99999994
7c85b904a2049dec5c358d8639ee15af3ec5754f5eb0707659b7b4daf57fce83	118	1	1.0
7db2f33ffda540524d72ecfa8c48ded2ffc54130d0184a0a9a0b54e646498b99	1390	2	1.0
7dce62d2cd1df42b72172807b1526b4ea9063242c59cee37913cf90b8706ad60	1036	2	1.0
7eb7771a02b7d5021121f3f907256dc93327c839169733378362d291cb76e0ce	107	1	0.99999994
7fc86ef9a59a068c6d4fc0bc0a79788fefa84907e386c561c7567bde52160b17	1132	2	0.99999994
7ff04ddccf949e11263e780f4fb3492ae973c50c851a4df836fb5d6e323a318a	233	1	1.0
808152c23dd7903f79cd211e69be307502872a8319329ebfdb49ad3c6d25ad55	464	1	0.99999994
80be356aef4f71329822694d1d7129d6dd6bdaaee64fe2d62b1d68fc82d1ccdb	1140	2	1.0
815d17ae9639c4fa2db3f5b2238aff14950018c5d327f632fdda64dc07948f59	122	1	1.0
82a10d76551a9414922a5d44292c93f21c722864c4991c2e42886d4fd0cd8353	452	1	1.0
838bd1d1720a9be02d2317ebabf1fb9b69d86beede4cec20226586bf3f0b6ea9	1102	2	1.0
8400030088daa962283125365238a8cd19878b292ef12408c6457e69231e769f	201	1	1.0
8421c9ba226d755ae65a38b8b2f4883a76dbb7784ebb41cf19ffa2468dbc9f98	445	1	1.0
84d75d50d5ce7d3a10265d181511b7da2f50e01e04405dbdd23c36b13f73600e	332	1	1.0
850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998	605	1	1.0
8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5	233	1	0.99999994
86474905e2d1f55fde60c48c187f901d56f9e9fdd998cfbe2c648a843b6e9aab	979	1	1.0
87744367b800f3cc95c3a6d293b833f1eb880275dbff337dd1b2025d071efdaf	1009	1	0.99999994
8a6ef4835aaa5936819e4afa31171cbb3f03d0ba950280494c8072794d1d9ec6	887	1	1.0
8aaa3dd189e99d4f3e31d0cd954bbab120f3c76b37754400d84903bf93690fcf	269	1	1.0
8b580bb0bb1537e3becb4733f6f91562b790fe669fbfa64f004744df8641cf14	498	1	1.0
8bc8432fcc649b965ed9bfaef63c595d023537a985c3b242768bac1f1bf32fb1	333	1	1.0
8c07f9a471c4e3f34ebcee726c63941496328a5183bb6987488a4734e9659730	941	1	1.0
8c9af87b44d8f7616b04934bbac932411a6e0eb650682054d92aafd77c2ab1a4	1033	2	1.0
8cd938d461fa1a3017d840bb584b4e2a5a1d03000e2c359dc0080475b0cb3af7	740	1	0.99999994
8d1fc91f90056f7fc4e638d2dbf7cd73c12e30e4e9cb97c76cac1d5b308643ed	379	1	1.0
8d5931178af016b7914566577f5b490174948917324c7a6db74dca9e3dcaf94c	330	1	0.99999994
8dc9c905c8dd258303447692e16cf50ec23150e51737ac8fa4380670decb32b9	331	1	0.99999994
8e730faac3c6b87a7879f190ab3c77de56fd10330176561ba7ae08dbfa1144f0	335	1	1.0
8f2e0977834e932b19f9a7b8f8e5b9ed6eb97c7c2aaedddbead55aa8e21898bc	801	1	0.99999994
90eb126213d7187353b8576a84b049128ad4419ba9c6fa21828cb4ac658a32a5	1258	2	1.0
94438bfcc4ab0fe4309b0436589d66e5d9aa4804cf0e4c4c7d2745ad7dabbaf4	461	1	0.99999994
945340616bafd8d32b4cdb5a4f6a1f13ee9de829fd7daccf5f63fc94149d6b34	380	1	1.0
94598ef6b31dd758a4cd8c66de1f93dc6081f3eca13ae4ee8a1c6bbd21e668ef	464	1	0.99999994
965a796bdc7b10fc12f86d5221123e411b8363e16b2279ca1261cb92230b8867	759	1	0.99999994
9674ae254efaa5e9723195db2f9fc83efdfa15733fe9b2b2af9e6fc93dcb31ab	394	1	0.99999994
9796e4a195066b95cb46d4fbb869f06afddbe3672b9e1f789fa4e3e5c9560e0c	250	1	0.99999994
97bc21cd2f2917ad77b078e38683a41868916502e86b797a29fbb1b60ebe7be0	598	1	0.99999994
9947d2c5b5ddc2893700fa695c8c05d8b1cd28213fdf19298eb174d8e85d3013	374	1	1.0
9a06387610edd099466d614941c42a433f444feb6a8f25375bb0b6ad8ec9c6f4	140	1	1.0
9a7208cc38ffaf6187e6512b3a0ae3165f46d707d42414cf9514a2c748d50781	554	1	1.0
9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751	1215	2	1.0
9c4089da85ef3c06dde2c14def7afc4a2e1452947ca9abf34025f90a101db770	806	1	1.0
9c418558debe0111e149ea23391b9add685b7a614ff1bcb195a5ebb38cde9d7e	706	1	1.0
9c4ba426b4bb5839d7f3e266bb7de61f0d4ebb64f816e7be4618bda801832772	305	1	1.0
9c9c4db1c101c92124e1636ae0bcadc314c113c4949c05c9e3dfd370764d8bce	3969	4	0.99999994
9d75df3126475e512fa7e1f554e1dcc9e33b9de3a06e5a1eda68423360140dc9	1907	2	1.0
a0d8504fc2ce28870415fc343e3f9d05f8ab9b574fa9e28f0f89d5b6cbc2a563	530	1	1.0
a36552c8f3b13fad86f99fde2f517461b6550aa81de417c6efa48913dc468ac9	1872	2	1.0
a4780e73fe10f77f1f3acbdc06a6a1f15d098c27a3794d4d1b8bab2ca058898e	491	1	1.0
a7d9a89cc8dc6bcdb2a2b1ed5e18cf866ad6c8effe8391aaea05bc9dbe6b7ce7	460	1	0.99999994
a88b80dc9745da7cc614df45d0ba8cefbe6c6b1056adfe52757637061d8abb8c	136	1	1.0
a9d70e6dd79a9d6d5fef6772b08efb426eba56ffbc49737c550220e71c521746	460	1	1.0
aa54247704f55ea2a11e5e339c873318fa24bfd23de6d43aa67e2f416e2b8e82	999	1	1.0
ad4a5bdfd3dd373122efafb7a854e7165d7e1c52a871a1e1103824f40bf137ec	99	1	1.0
adf7550c0de1442de9b1fa18ef686aa06034c744dd00274713b33b14e69f8132	261	1	0.99999994
ae66f15995026742f1962da6ccc722c3d8a5f154b9d6bd2622898390db9efc77	492	1	1.0
af1da04ff0aec04b89f2c4605eb222fc00ba4b5fdb08b537f284cac275b33a17	1055	2	1.0
af987650896002d008d596b93aa829ede1afa3e3b9ed769b9a8f70afd7be25d0	457	1	1.0
b027a0b811987bd858a3b188bb8cc1cfe5cc82bb2d4df72330d5f9e957c8123b	207	1	1.0
b04020d6a298b87e7e20c83b346f59825468dc2001355b699e4b91d67d9bea6c	732	1	1.0
b07f4d5a82f88e0062e88c59e5952c30fadb02208c669fc1acaf03307a73dc14	377	1	1.0
b13035f135fd81cf7050efeebd189db3b535ce19e7efee51566f4e9e2931d717	576	1	1.0
b16f52f0d04b72927ee4e0cbe247b9d446ac4466ec87c4bf055470e04b94b895	112	1	0.99999994
b1b17c7fca3cbab15bc66b90bd4c07f73617cb5a03db105b0a38084fe7bca48b	290	1	1.0
b418f70224777134a1f0353cbb08098e62eee040839bebd2320e4222211eb581	269	1	1.0
bacc1183551b7365dbe3b112a2a403f145940e3c5d05518dd80572c7c42f7c89	319	1	0.99999994
bad437a417a184a712dc35dd65c7178f5671e77cc8a22b2f2c547b14e215d08a	499	1	1.0
bb8d4ddedb5cd0daf2e688e644633a2c5376e718cb62935cb3380dcf38173bf8	4405	5	1.0
bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df	870	1	1.0
bcb49e7e1db8d95c084172bca13d3b727991096f26dafdcb0033251b4542027a	806	1	0.99999994
bd38fcffc08644dd8539bdd66fd9acc59c09dc9402aff58b35b696194040787e	399	1	1.0
beaa825e538b5313d28a569c239d221a99cd820cd630fb9da229ad507b1af1d5	197	1	1.0
bef6f3ed8ba05069a93adb66da0929b672f424a3f7b6fe3f8c6b4ce2ffadc2f1	726	1	1.0
bf4a1384a527c5eaf74b093f1d2cbcc91c5061b76cc4ef041263f1d101bae296	317	1	1.0
bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670	1130	2	1.0
c0015db19709133b4b8ab1e5064ef58c474a7bd91fd4a59ffe0f5370a95b74d1	299	1	1.0
c03733fc6f7569b39bc39c3dc02c986311ac0268b2298e8693221c722cff6861	1333	2	1.0
c16014a50fd255a89b7b3cd8f7313f25d1aae69d3a4222cd9692098a496fe5fa	492	1	0.99999994
c1d9753f99d3ebfbe100b2343f4bfbb33d70757beb8a8afd001024164c2ed4d6	71	1	0.99999994
c23774877979c872f09c2f4660be61f586eb79ded86ab9755b7cf889bf6718fb	279	1	1.0
c2605143e7573a8e4485a8559fa67e5a99f862682b894e9c3a1302296f6f5efe	135	1	1.0
c2826a2895a762da0611b28241dd11a097c76ea96df17bf036756f03b3b31fe4	315	1	1.0
c439463f0f8ad68eb087a547bccd2e0cf18e31b66268a57550f163b4777daa3a	485	1	1.0
c497f29417b886ff019812f69b1ed95fa872225c9180283496bec6d9ca65f664	360	1	0.99999994
c81b4e9e806e0ace9f779e65477e6c988dea6cad5eecfbcb35f2364c5fc884dd	821	1	1.0
c8c009a1d018bf32ac9dcd2e112348a187aaacb87effcc74bb01aeedaac8b85c	1332	2	0.99999994
ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f	763	1	1.0
cab613756512beb55d4fe50fecb7ec1a805e7b68a08ef02d64bf04d1b76ce90a	280	1	1.0
