blind_pair_id	pair_sha256	origin_cohort	origin_blind_pair_id
BDBAGG_V112_000023	c4d502871d71d17e53c5f69ed16b773511743b2298a193c993e0a7015b25133c	v1.10	BDBPAT_V110_001865
BDBAGG_V112_000024	41a7c9f273cceb34ff70b88f0663e4a7a3c72234a00f4fe5aea433c4089d0b12	v1.9	BDBPAT_V19_000980
BDBAGG_V112_000025	a319e2443c7920fc1e20ee8afde8547f441ecb1c16fd0432e38d09904011cf44	v1.9	BDBPAT_V19_002481
BDBAGG_V112_000026	24490f5e21d33f748cb10242942ff0397b45dcde7ffaf0ed427bbc71195107e1	v1.9	BDBPAT_V19_000530
BDBAGG_V112_000027	e70d4e92b6079cdc5505e7fcac5aabc8fa78f5014c62643888167890f977c8bd	v1.9	BDBPAT_V19_003512
BDBAGG_V112_000028	1be2a6606a7c180d51488cb7902cc9ddcac04d42cfaf83edbdd7991b336e42d2	v1.10	BDBPAT_V110_001653
BDBAGG_V112_000029	bcdb510810f1137811488114426388f27e19638897acfc70a78e3d1b34d0f81c	v1.11	BDBALL_V111_000211
BDBAGG_V112_000030	f93d4d77fade34679cd5971c9bae0df6a364ba2829d3fc3fca3301300af9321f	v1.9	BDBPAT_V19_003774
BDBAGG_V112_000031	55d429ebf1c0ebd4d1aca8b0175a5903105976fe257466b44d54d2f257151d60	v1.10	BDBPAT_V110_000291
BDBAGG_V112_000032	9623ccc314abcb11646b3a08c3d35ed308d2b9baec45f5c6cc74c11c9f3f452e	v1.9	BDBPAT_V19_002297
BDBAGG_V112_000033	63ac7c411b3670f314370a178562a9bab415fa44d8ea66b6820c11e0b60e0eda	v1.10	BDBPAT_V110_001917
BDBAGG_V112_000034	61d3312c5c18a304fc775e217f6e90e17d6898c5e28bd71c35ce5c9f00798f3e	v1.9	BDBPAT_V19_001525
BDBAGG_V112_000035	705bb179dca08d123dbf4d37e913ffc2d874945dab253f0225daeac8ed4369f5	v1.11	BDBALL_V111_000612
BDBAGG_V112_000036	23d8269064a70699a2b9ecf981c369c892dcd6d182dc587252a524f22081b2ed	v1.9	BDBPAT_V19_000516
BDBAGG_V112_000037	877352872971704d956e78f62237a1d87c635f990a8b628edf89e2497fb4e325	v1.9	BDBPAT_V19_002063
BDBAGG_V112_000038	408d7d3f89558cb2b0de95557040e1e180f6021c211f2b2d97c44327449f3e15	v1.10	BDBPAT_V110_001801
BDBAGG_V112_000039	01101a1290552784d943ecad053464782ee1885850e6c6de976d8cead3336a3b	v1.10	BDBPAT_V110_000017
BDBAGG_V112_000040	e05eb195b20951865814df6091d6e9ee221d8bd94e115d727cfb448022e8bdb1	v1.10	BDBPAT_V110_001211
BDBAGG_V112_000041	a377d7f12a6295f0cbbf15cba2051dcb08a49e1a5b95a934d6acb43a503ff736	v1.9	BDBPAT_V19_002486
BDBAGG_V112_000042	97bf143f0ffddb40a64362becf06b40e935de8a17faea54f5ff24d85c8a11fa6	v1.9	BDBPAT_V19_002324
BDBAGG_V112_000043	781d003a365d7679bec22b5f58bde32e8038c607a85658aabb945142d8030842	v1.9	BDBPAT_V19_001855
BDBAGG_V112_000044	ba523237a0fc3ef1b6422d136934fabfe5d3245eb5906703ea9bc96f80852982	v1.9	BDBPAT_V19_002834
BDBAGG_V112_000045	49712eeb075f4a359891d408a99ce860e082940d23dfeb629771775835183c0b	v1.10	BDBPAT_V110_001420
BDBAGG_V112_000046	8ca12fa4e57339eddc3c8d0572e55f3542fff3c91402faa1ea2c84f71701a061	v1.9	BDBPAT_V19_002150
BDBAGG_V112_000047	951415aaceb0b82664e18ff06036540ed2d48baa56a6e3023b193f928f1e7b79	v1.10	BDBPAT_V110_002480
BDBAGG_V112_000048	290aa5bdeec49c497835676623bb0a4d2c71d952d17640414a3bd678d5f18e1b	v1.9	BDBPAT_V19_000604
BDBAGG_V112_000049	b35c7d48aaac31e35e4dce0e15888268703a3424ca7546bbee0ca7a6fc75e34b	v1.9	BDBPAT_V19_002736
BDBAGG_V112_000050	5d011c56d99f96169ab1804063a76aaec9a6cd93590f00e0dbe015c4158518e2	v1.10	BDBPAT_V110_001014
BDBAGG_V112_000051	e560e87caec149dcb05a89c644d16cc4bd2c5491e828f7e64bc55fd2e0325a95	v1.10	BDBPAT_V110_002356
BDBAGG_V112_000052	277a4c9c4a114e97f54f06295557417f0383131d2afc8af17076ccba203cbeb8	v1.9	BDBPAT_V19_000582
BDBAGG_V112_000053	4da52f16f8456afe98fef092d85034a61670204eb867c9405463d86261b4bee5	v1.9	BDBPAT_V19_001205
BDBAGG_V112_000054	b96d48b7e62195476b79d368edb2c6dfbd6f5a11156ed319b23a24c1cc27105f	v1.9	BDBPAT_V19_002825
BDBAGG_V112_000055	7c3f1ecc0d29da7ada2b31f18863c1644a4147d1e8861da1a55f2cdc6326c6e1	v1.9	BDBPAT_V19_001918
BDBAGG_V112_000056	4668ab50f9d3a09f00de01581b3d2279282e9e507356a605cc5f4ff5def853ee	v1.9	BDBPAT_V19_001067
BDBAGG_V112_000057	143c2632ae85860ac774db97a86d9c7cc7508bc22acc0c6fca66ee71af2cfaab	v1.11	BDBALL_V111_000850
BDBAGG_V112_000058	1d4600a3588d4f3daaefec8c273d65c10b4cdfaee782704cdd6ccae108bc11eb	v1.10	BDBPAT_V110_000007
BDBAGG_V112_000059	4990e58a430128f2c64bedae753678ccb720a61aea0de54e25fa5c44511498c2	v1.9	BDBPAT_V19_001125
BDBAGG_V112_000060	c9f021ccd7823f62b688ca999357065ace2104d134daee37d67b5dd4ab48350c	v1.9	BDBPAT_V19_003068
BDBAGG_V112_000061	21e878354ea87d9611c05c4508239a5b19b005f506189807a0a9ccebebfb6dcb	v1.9	BDBPAT_V19_000487
BDBAGG_V112_000062	8ff2ee08e65be49cac0d4b62c68dce6cdf2617fc749a776812ebcf04a648751d	v1.9	BDBPAT_V19_002203
BDBAGG_V112_000063	3f0d3c47834fb5c3474bf77a81d9a08f9b27f033e905a18d051586c0591217d0	v1.9	BDBPAT_V19_000942
BDBAGG_V112_000064	230c3f5f8ad5ad1877bd6bf8e8308ba45ed090d1b5f902cdd24af7d969bc3d64	v1.11	BDBALL_V111_000520
BDBAGG_V112_000065	ea75c706fd71afb69b1f1ce8ba5e3a56df00353ffd883bd93e6f323f91a1a91d	v1.9	BDBPAT_V19_003560
BDBAGG_V112_000066	acd670967c3c4b1812f5c9dfd3775e12faf1f8779c3b73470c5e46f27cb8ea62	v1.9	BDBPAT_V19_002647
BDBAGG_V112_000067	76266a33da68622d674f0b43083a4d9e292d37c0b433df3b4e45ff2ca1c01d70	v1.9	BDBPAT_V19_001825
BDBAGG_V112_000068	23829568f435e242e33a419d9c0c30788199032efd3264ef0a8d4792367a0f8a	v1.11	BDBALL_V111_000255
BDBAGG_V112_000069	22ac5750e290ff837626edd125f2a2687739fa317dc33b68fd79c85da1b25817	v1.9	BDBPAT_V19_000497
BDBAGG_V112_000070	f215a0aa3ab4e53b1938a31e23f72362745a725d193754c640c763fec5d8cd8e	v1.9	BDBPAT_V19_003691
BDBAGG_V112_000071	625fcec4aecccca0bc890f29e4060ebb9d7336530c3934aa235b0f9bc080752c	v1.11	BDBALL_V111_000249
BDBAGG_V112_000072	381c254e6b798c5e4541ddf5f6e295a348ecd0875eb5bdf8444005b697b1cc21	v1.10	BDBPAT_V110_000742
BDBAGG_V112_000073	92c55fb5eb9a450c387c3d706f6641705f27540d076df36217bf2a77bd8ee48f	v1.10	BDBPAT_V110_000623
BDBAGG_V112_000074	9917dd3e32798410319137e13578f09b48fd3852998f8383517379b2716c3f3d	v1.10	BDBPAT_V110_001558
BDBAGG_V112_000075	be5c3cfcdc8dd99f8510170a19a17583a523753028d93be57590b9484bd26044	v1.9	BDBPAT_V19_002891
BDBAGG_V112_000076	05e49701d9f2a2cb418de656bc94cfe280bcef3e3a7a40cede02c6361e23b6a2	v1.9	BDBPAT_V19_000082
BDBAGG_V112_000077	87b429a49a5c6b5782487576cd71da0663c32fcfc8dad80513914bbd34a7bde8	v1.9	BDBPAT_V19_002068
BDBAGG_V112_000078	b267f7e7fca60f827668448ece5e2bcee7de0c110695d0a9d57d60f4efab28d4	v1.9	BDBPAT_V19_002718
BDBAGG_V112_000079	4f44da42cfa55663aeec42c067488c07ec2876b08334b9bc4841dcebfdffdff4	v1.9	BDBPAT_V19_001237
BDBAGG_V112_000080	f2290041eec25bd0e6537c9172e32843f458acc9f0cf9f3f744cce9ac1749813	v1.9	BDBPAT_V19_003692
BDBAGG_V112_000081	4fc75b2dadda06277db63b5394a5290575b95f3945a242db8c3e33399bf689ca	v1.11	BDBALL_V111_001060
BDBAGG_V112_000082	ef8a050944641298fd40b82d215c6f0010ef815ba20974b4cf4dae3a47ed7e48	v1.9	BDBPAT_V19_003656
BDBAGG_V112_000083	0df5a20bad6a8c3e01845d77df0b3fa8fd52db07834a7115415ac2d3237ee848	v1.10	BDBPAT_V110_000095
BDBAGG_V112_000084	64d2ab71f6c6ca366ff3b781daf32a3fbf071a115c84369186c25af29e6f5da9	v1.10	BDBPAT_V110_001945
BDBAGG_V112_000085	b1841aa21a903d06cb3814f17b9b22455b2ca94fee9cecd298de00a68b93fd5b	v1.9	BDBPAT_V19_002705
BDBAGG_V112_000086	76e8bf9173e7f5c15cf36ee58850d9289906f64c8837e1e1ec9e2a9146d3d94a	v1.9	BDBPAT_V19_001841
BDBAGG_V112_000087	e2db538de011d54684dae7b34be4c2889f3a11ed714064d9cec3eae5eacf8a4e	v1.9	BDBPAT_V19_003443
BDBAGG_V112_000088	b2bd8e899704c68f5e6beccfad58aebb7ee494ef01b91bc3b4b77cf4d1410056	v1.11	BDBALL_V111_000418
BDBAGG_V112_000089	95e696ac6ba3ba495836605d4c9b8d4591640dbbd5c78c9b73da7342e86abb83	v1.9	BDBPAT_V19_002293
BDBAGG_V112_000090	18f622d042799dfd17fa2bf5752f60e6e1c6db78cad1e132701750ba432c88cd	v1.10	BDBPAT_V110_000825
BDBAGG_V112_000091	bc3e32a4e30a6fed228d58a40eff59a5ac7e97fbe9556160aef06aa3a45c00e3	v1.11	BDBALL_V111_000419
BDBAGG_V112_000092	ef2a2386bfa15a196e4715e04308edabb9056739d8adf5a501aabdebaef7f41f	v1.9	BDBPAT_V19_003643
BDBAGG_V112_000093	54725823f0005deace6d3b98ecafc0db90d62af4f7f5ca461b964958f400715f	v1.10	BDBPAT_V110_000950
BDBAGG_V112_000094	baeaa7dc079ad02c23646649a7413d156cb55193a047d02669a8e329d8e2a0eb	v1.9	BDBPAT_V19_002840
BDBAGG_V112_000095	10ff2496fa1fee044c08e183307b9674c24558bd0195419e271def8d22a4bdf3	v1.10	BDBPAT_V110_000388
BDBAGG_V112_000096	200cf0edc7f7900ac0be6391d4f9b66c863717d26585eaf9dc6e8deff2adeb72	v1.9	BDBPAT_V19_000464
BDBAGG_V112_000097	6b001a7907d82b6cf61f669e1593ebdb2adcf7247f26ee967a1eb65518ea68fe	v1.9	BDBPAT_V19_001658
BDBAGG_V112_000098	dbf13a2dfd0cfad73fc3fe95307b69971505efae22e12715a413fefe8e91aeb7	v1.9	BDBPAT_V19_003335
BDBAGG_V112_000099	18feb59897a6ce1c77ed6a517ec6b0c3c41c03bcde9c1e71654358ad41f875fb	v1.9	BDBPAT_V19_000357
BDBAGG_V112_000100	e74fd4f702201662d6b54afa1af4ea89cf9d431e217cf0f6a3adcc2871bde9f3	v1.9	BDBPAT_V19_003516
BDBAGG_V112_000101	be2905c0d3c2b198400c9052bb6897f9a4b5431a8855f1e45cf1c7e4106c4c56	v1.9	BDBPAT_V19_002887
BDBAGG_V112_000102	7e0c924d61cda77737d2b2a17a1f5d20608e09bbb67586d636aa891ebff43f84	v1.9	BDBPAT_V19_001946
BDBAGG_V112_000103	46af2c72d35d8fc43bc778ca55bb0d4aa3631957bf4bd17c7a84d85aaea93583	v1.10	BDBPAT_V110_000767
BDBAGG_V112_000104	d43cba0ff38c94ba441b268f4ff616d02b74a477be18a281a9ed7b1a95dfa0e3	v1.9	BDBPAT_V19_003224
BDBAGG_V112_000105	9380c77abeaffe377e240ec584af5719563a1cf22101ecda26b22aa19864fb5b	v1.9	BDBPAT_V19_002256
BDBAGG_V112_000106	ce92931fbadeeb8e9cc0c58f5ea981e6a5a55526015d9b02b613e2677877b9ee	v1.9	BDBPAT_V19_003127
BDBAGG_V112_000107	2c7723ea0f59431188fbb3f97479c4daa482cf5161e27bdea5a882a3f06a11c2	v1.9	BDBPAT_V19_000660
BDBAGG_V112_000108	fa4141934789ea9574dcfba6606bd4773fd55037ea680236c7bb185546d5fb03	v1.10	BDBPAT_V110_001396
BDBAGG_V112_000109	03abdc2e9e49e7e614d234fa2d73c1a5b8e27afc15b53a4969d23254f4df26d4	v1.10	BDBPAT_V110_001272
BDBAGG_V112_000110	ea82d0af5ec0f78cd397444a80f9a462ed34a56c5cd30b5f5b6659a285d74c16	v1.9	BDBPAT_V19_003562
BDBAGG_V112_000111	26a65a2fbc4c9e846b18dc53b73e35e41954f69e75730c98462c2f10c80a75e7	v1.9	BDBPAT_V19_000569
BDBAGG_V112_000112	9afad1082b3c106665d3495fb13b6249aaa46eb496019ad180ef2c17c0e3e059	v1.10	BDBPAT_V110_000648
BDBAGG_V112_000113	f3a45a2c13eb4a0a6e769bcf9a0fe2acb1d5e97b3069b12f6107c4f8c96bbcda	v1.9	BDBPAT_V19_003708
BDBAGG_V112_000114	a8174bc2e6fd31e47c9ca72c6b962e11e29b357385e100561af1e240004ca47b	v1.9	BDBPAT_V19_002559
BDBAGG_V112_000115	aecad93e8036eee1cb7a5bd391c3775e611deeb404f1312181b15fb78eebd550	v1.9	BDBPAT_V19_002676
BDBAGG_V112_000116	0cbf8dcec096daacea3f6e44d308781dcdd8e50fe65ac5e23ee262e20a52791a	v1.9	BDBPAT_V19_000169
BDBAGG_V112_000117	1b7998f3c8b5fa2210281f4562acf86e0445c2b0e915eaff6592b82980e433f4	v1.9	BDBPAT_V19_000397
BDBAGG_V112_000118	1fd70125fa7d1076acf351d296f0cdc228a63fa1d44c3d0175f4f1603c29b522	v1.9	BDBPAT_V19_000459
BDBAGG_V112_000119	877fdbc9e4e2f76b5c2e6d943b0136721d10fe81e68d89748c78e129e7009554	v1.10	BDBPAT_V110_000300
BDBAGG_V112_000120	0fe22f7a35236a3cc6c15c19ee3ca6a0671bc0e56aa57919055fd8678608a91a	v1.11	BDBALL_V111_000058
BDBAGG_V112_000121	74c643f0c710117e03dad790ab8963a0acfd25e4752166ea5685064ec722034d	v1.9	BDBPAT_V19_001800
BDBAGG_V112_000122	6105011b5c67b001e3857d4ff8a1dabf6d067a54eea612ff28798f2937c1831a	v1.9	BDBPAT_V19_001516
BDBAGG_V112_000123	9e243897a5314c04736aeacff1a7bd5033a7484f3748f6f981f8406041626676	v1.9	BDBPAT_V19_002421
BDBAGG_V112_000124	4b6ef07c90cf9a5c770d2bdc9f20c754021c83c7a278e3cd27403e03349f95b2	v1.9	BDBPAT_V19_001163
BDBAGG_V112_000125	59c15b6c76451ba40d2aa8a31690bedcc589e4eab24c5c5434bd0f674cb71b1b	v1.9	BDBPAT_V19_001393
BDBAGG_V112_000126	94f1c5993df6592709a3f37457936da2039f737737ba561f31f9c60a7b7c588b	v1.10	BDBPAT_V110_002426
BDBAGG_V112_000127	bcf97eec3532b973d681b468b327dcfc91490ac4952eeaff6fa447c2f6f6f11e	v1.9	BDBPAT_V19_002870
BDBAGG_V112_000128	16dfc2c991ce664973abf524a818356c9023384502128d023efe7a5cbf8ea3a7	v1.10	BDBPAT_V110_000277
BDBAGG_V112_000129	c0c21425360cc2fd46327fcf2c543323788ddd38f9b72c8a62e21af1824bb765	v1.9	BDBPAT_V19_002926
BDBAGG_V112_000130	ebc4fcb25a27189eb91bb6b1e746e1eb090b0672aebd9b28b8f4e5bd02db7486	v1.9	BDBPAT_V19_003580
BDBAGG_V112_000131	82184a8d37dee5ce86daab0afc3941139cb3376f1d0a5283c38edb0265ee6953	v1.9	BDBPAT_V19_001997
BDBAGG_V112_000132	da78809a0cae70642401021d282c9abd5b78a87f1509782265e6fa3086bdcc2d	v1.9	BDBPAT_V19_003314
BDBAGG_V112_000133	adab7f56105a5ceb547e162950fb5ad06da548da5a08820383a09911b8474113	v1.11	BDBALL_V111_001058
BDBAGG_V112_000134	4bf15f182aee5a97c93e27789d423eb762daf163e94ef9b4260690da5ef80b88	v1.11	BDBALL_V111_000457
BDBAGG_V112_000135	e8af15c7c8821bf282e53c3b5e854b102b55ddc5d04a84303ba260218088016c	v1.9	BDBPAT_V19_003533
BDBAGG_V112_000136	41130422ee9f628e45c010dc56d9e13621bd3a32b67241d3a9f8b1c5acabe9f4	v1.11	BDBALL_V111_000563
BDBAGG_V112_000137	04f47f7c4a34b3189a31fc1904db41239e3c41bde8fc607d3e1bf389f7772f6c	v1.9	BDBPAT_V19_000071
BDBAGG_V112_000138	3174d9472de8bbb9bd58980a8e46d79cfa42453437a14c183d22551e2f4c7f9b	v1.9	BDBPAT_V19_000747
BDBAGG_V112_000139	907381c5d2a3bb627596e42ba55bec831086b0edf23927065e599a4d50c76cea	v1.11	BDBALL_V111_000449
BDBAGG_V112_000140	7a7f87590d8cde6d480640c2d13b4f4d3e70bacd93f4c9d35cb4f87b0e842f74	v1.11	BDBALL_V111_000616
BDBAGG_V112_000141	6cff5fb26f699f241d6266aa96cf56c9f7715c8040992c6302595562c034622c	v1.11	BDBALL_V111_000974
BDBAGG_V112_000142	4283c0f443db4c2df434646d14b11f1180e6248971df3d5baa24c829b14f4ea3	v1.10	BDBPAT_V110_000207
BDBAGG_V112_000143	c1a7508f01bc1a1e09a65f3d78d64d0aa49d23c85363c5c5394b1ced4b33d82b	v1.11	BDBALL_V111_000810
BDBAGG_V112_000144	65626f528c75a0123ace478162e8c8ee8c52d86aae5412548fffb1a41cdeeded	v1.9	BDBPAT_V19_001574
BDBAGG_V112_000145	6f3e9ea880c2c58b9561463ba8ca1e6d2e2e33f647b442f44f7e1e5322647fe0	v1.9	BDBPAT_V19_001715
BDBAGG_V112_000146	40e5b484972a8c63d127f329bda9662fab565683a692c860fc93ac85a0b489b2	v1.10	BDBPAT_V110_001378
BDBAGG_V112_000147	e156081062ebd11082a8756fa55dbe716fbead440052e535f5371e3f590eda2c	v1.11	BDBALL_V111_000658
BDBAGG_V112_000148	e25d631be044ad28b29e262bf0cde07c17b5b114efdcc6f95324a5b26cca5fb2	v1.9	BDBPAT_V19_003434
BDBAGG_V112_000149	a5e13bbd5541753eedf2d5b890cc72605d3a80ae77aec500f8fefb306ccc9d83	v1.11	BDBALL_V111_000311
BDBAGG_V112_000150	71f7b41ff23f52cfaeaad9fe25b46fc30e017dd87e2ace6e66d895240dffb0c3	v1.9	BDBPAT_V19_001759
BDBAGG_V112_000151	c99136c676fc246a0e783de1977796ee8e7d1093320da08b5ffa325defe64bbd	v1.9	BDBPAT_V19_003061
BDBAGG_V112_000152	616af9e7aa546d6ee0454f81e8d29f5a4b64d48c4bec58ea4db859787f573ce9	v1.9	BDBPAT_V19_001521
BDBAGG_V112_000153	32286b98240ac7972c911066dac06d650deabcdb0e19de409faee05727c6cf24	v1.9	BDBPAT_V19_000755
BDBAGG_V112_000154	30646a39e1a74b3b1dbf85ee9ee44b42e8724c3c9b569be52baef4af144585e7	v1.11	BDBALL_V111_000847
BDBAGG_V112_000155	d36882196a6a47e9bfc4a3214ecc9723b8103674d4ad27846e6ce3afda9c1427	v1.9	BDBPAT_V19_003206
BDBAGG_V112_000156	dff3c61674cf0ba305bceef52eb5d20815c29dcfb4c1924c6d6011a49ccdb2f4	v1.11	BDBALL_V111_000614
BDBAGG_V112_000157	4e8809d2313389ede28d9d413df7f9a59ecaaf4c4683599e2cde70b29fde99c6	v1.11	BDBALL_V111_000879
BDBAGG_V112_000158	8be16cd67be451c11959d4655e7c45789be95d8bb0ae2e5d4df0b91b83250222	v1.9	BDBPAT_V19_002137
BDBAGG_V112_000159	f94145480c95d71c8a4117ff9772c8afc680cf0e6125b6e350925b6f6ff0b3ec	v1.9	BDBPAT_V19_003776
BDBAGG_V112_000160	6d1a468fe784f54c9510b9075ca08555839e5d536346563927bf5976d5c78363	v1.10	BDBPAT_V110_002017
BDBAGG_V112_000161	2ff00ff76876d48119ab3a5669822adacc1a04b335e365ac746bd6e8ecf84c90	v1.11	BDBALL_V111_000303
BDBAGG_V112_000162	20d2744dcdec03dbb754d28c772e096f92e87c1c58eb6b8d5af0f774aa9f956a	v1.9	BDBPAT_V19_000478
BDBAGG_V112_000163	f88c4c3953bf85b2ed2bcd48b4c1b10cc255662bb04e669d605c9a2ef5f8d96e	v1.9	BDBPAT_V19_003766
BDBAGG_V112_000164	09355c8417c1de92d40ebbc65f3fbf3ac8569f4e8ff925ff62cab0ec0c039301	v1.10	BDBPAT_V110_000851
BDBAGG_V112_000165	3f3cd6eadb0f456603be830e606d632801ca2f43519946a1de12ac6ad64720e7	v1.10	BDBPAT_V110_002032
BDBAGG_V112_000166	e6660f7e0dde29c225fe0199b0a5393926dee7e147a0c3dfe1b5aa4b1b2f6bca	v1.11	BDBALL_V111_000479
BDBAGG_V112_000167	870df77aba128d9870dddd293a225fa1930dc8f5042a9e4938b0629879a2cc18	v1.11	BDBALL_V111_000556
BDBAGG_V112_000168	c51bfe8c15ffc4823e081ac723c0542356782579ac72b75e80895513b09ad5ff	v1.9	BDBPAT_V19_002983
BDBAGG_V112_000169	d0d06f43960818848bda7c40f82415df775ea3f2657b9f519a36d011a7b9e641	v1.9	BDBPAT_V19_003176
BDBAGG_V112_000170	2540372cbca70eeb1d6441cc6c5885c45e4d7aa8dcb27b4ac42ccb8f622db34d	v1.9	BDBPAT_V19_000546
BDBAGG_V112_000171	1ece69c06a048d33d4603e1941b04b52082b1e3f37dd3b18ef2c7cb56f189435	v1.10	BDBPAT_V110_001511
BDBAGG_V112_000172	2ea283fc9a106180baae4d45e039282e917714272d4733c125ef9ab79ab30c28	v1.10	BDBPAT_V110_000377
BDBAGG_V112_000173	7284d44490c0b82d013cd8432c736f95842cbb21b03a589adebaaa04049aa31b	v1.10	BDBPAT_V110_001903
BDBAGG_V112_000174	07803d3965440d2c6e708e10b8d0569b36a3f720c1446bde3eb67f8ee6205629	v1.9	BDBPAT_V19_000101
BDBAGG_V112_000175	0dd35c3492cbb3f06e98045c681bf47462587ec6a3c3cccbbce53b88abab88eb	v1.9	BDBPAT_V19_000180
BDBAGG_V112_000176	5c9a25a7df39c105a8319c015e2514789eaa14c9dbf8a4edb120d7e47d7fbcbd	v1.9	BDBPAT_V19_001439
BDBAGG_V112_000177	43ea04fc60f598e9ec7a90c986c516e3bdcd06312c103908e557c682ba27f5f4	v1.9	BDBPAT_V19_001024
BDBAGG_V112_000178	58bc4a42f831ffad39625121ef71501860d9a2e6bdaae0ef1d76b240c00554a5	v1.9	BDBPAT_V19_001374
BDBAGG_V112_000179	c8c8d23d6d358f0ba1c88f217d0e0bc53d1e90d40b27072eda21f7c8c4213c4d	v1.9	BDBPAT_V19_003046
BDBAGG_V112_000180	13b049e16c9d79eb0552852dc2edaa53b903d861555cce8a410286d398025cad	v1.10	BDBPAT_V110_000597
BDBAGG_V112_000181	01928beb0d47be53b92e5ec382253ef208efd8c70bbc94c806072c403e57f06e	v1.11	BDBALL_V111_000018
BDBAGG_V112_000182	7780794d9c3306327abfb8d3bae44f81f90a422de294a1cd6e2262ed9a033a0c	v1.9	BDBPAT_V19_001849
BDBAGG_V112_000183	de65293f3370633b14f448e8b48e1663e06a681a8a98f80d90d27a5b1b224552	v1.9	BDBPAT_V19_003374
BDBAGG_V112_000184	897103c96e605b419529b9f91d4f564248069ec4a8bc89651e332008206b41b1	v1.11	BDBALL_V111_000774
BDBAGG_V112_000185	14c6113e17e9220292200fd0fed810ab4c980b0db8f4d6a2489d1f959b65d5ce	v1.9	BDBPAT_V19_000289
BDBAGG_V112_000186	2cef4f7c9ed400d50595ef46da3a364bb92449011c22ea1ba339871a08abba49	v1.9	BDBPAT_V19_000666
BDBAGG_V112_000187	7c827c713f768a18a73fdfdbb7b570bb37e1c1c80579da0ade631c47d4330b3b	v1.9	BDBPAT_V19_001922
BDBAGG_V112_000188	c8d1ffd2877b63bd67a89053d0dc11363678bcbce34ddfb06f2f0bddb75544c7	v1.9	BDBPAT_V19_003049
BDBAGG_V112_000189	3761b5f1054f2d21c91186ea80c9a45cb800a5e10510c851537dba03b706ff80	v1.9	BDBPAT_V19_000835
